id,conversation_id,post_order,thread_length,date,created_at,text,like_count,retweet_count,reply_count,quote_count,bookmark_count,impression_count,has_image,has_video,has_link,permalink
2031331946463375635,2031331864276058348,3,3,2026-03-10,2026-03-10T11:30:51.000Z,"今回使ったプロンプトも貼っておきます👇

「あなたは、複雑な情報を一目で理解できるプロフェッショナルな図解に変換する一流のビジュアルコンサルタントです。",9,1,0,0,11,3839,,,,https://x.com/masahirochaen/status/2031331946463375635
2031331934279004520,2031331864276058348,2,3,2026-03-10,2026-03-10T11:30:48.000Z,"テキスト編集がすごい点👇

・AIが画像内の文字を認識→レイヤー構造を自動再構築
・フォント・色・立体感を保ったまま文字だけ書き換え
・文字裏の背景もAIが自動補完
・日本語⇄英語もレイアウト崩れなし

元データ（PSD）なしで画像1枚から修正できるの、地味に革命的。 https://t.co/SGtq6nVXe7",14,2,1,0,7,5512,,○,,https://x.com/masahirochaen/status/2031331934279004520
2031331864276058348,2031331864276058348,1,3,2026-03-10,2026-03-10T11:30:31.000Z,"NanoBanana 2がLovartに登場。

NanoBanana Proよりも明らかに速くなっていて、制限も緩和された。これはかなりすごい。

僕は普段、文書からアイキャッチや図解を作ることが多いですが、こんな感じでサクッと作れます。 https://t.co/YMVTOi85Ih",71,3,3,2,52,12335,,○,,https://x.com/masahirochaen/status/2031331864276058348
2031320830362398806,2031320830362398806,1,1,2026-03-10,2026-03-10T10:46:40.000Z,"ManusにInstagram連携が追加！

Instagramのデータ分析や投稿管理を、Manus経由で実行できるようになりました。

これもMeta買収の効果でしょうか。

SNS連携はX対応が中心のツールが多いので、Instagramまで扱えるのはかなり助かります。 https://t.co/xmGqCqKdF5",103,8,1,5,59,12246,○,,,https://x.com/masahirochaen/status/2031320830362398806
2031211215180149088,2031188317275038195,2,2,2026-03-10,2026-03-10T03:31:06.000Z,"【Claude Code Review 要約】

Anthropicが2026年3月9日、「Code Review」をClaude Codeに追加。
Team・Enterpriseユーザー向けにリサーチプレビューとして提供中。

■ 核心 https://t.co/VqGKBX6Owx",18,0,0,1,16,6258,○,,,https://x.com/masahirochaen/status/2031211215180149088
2031203896182653368,2031203896182653368,1,1,2026-03-10,2026-03-10T03:02:01.000Z,"Anthropicの研究者：

「仮に今日からAIの進化が完全に止まり、AGIに到達しなかったとしても——

現在のシステムはすでに、今後5年以内にホワイトカラーの仕事をすべて自動化できる能力を持っている」

AIの進歩はもう止まりませんね…
https://t.co/LU49eFC9ZD",231,23,8,4,39,31398,,○,○,https://x.com/masahirochaen/status/2031203896182653368
2031203477507158409,2031203477507158409,1,1,2026-03-10,2026-03-10T03:00:21.000Z,"Notion新機能「ダッシュボード」が素晴らしい。

 ボード、テーブル、チャート、タイムラインなどを全て一目で確認できる。

簡単にBIツールが作れる感じ。

NoitonAIやMCPを使えば、自然言語でNotionページを自由に作り替えれるのでAI時代とNotionは非常に相性が良い。

https://t.co/GWYQhLUa8P",386,32,1,8,275,42740,,○,○,https://x.com/masahirochaen/status/2031203477507158409
2031188317275038195,2031188317275038195,1,2,2026-03-10,2026-03-10T02:00:07.000Z,"【⚡️速報】Claudeが自動でコードレビューを行う「Code Review」を公開

レビューすら人間不要になるのか…

・複数AIが並列で動きバグ探索
　→誤検知率1%未満
・1000行超大規模PRで平均7.5件の問題を検出
・料金は$15〜25/PR、GitHub自動コメント

Claudeの躍進が止まらない
https://t.co/v3TqnluFRh",477,49,6,10,372,62236,,○,○,https://x.com/masahirochaen/status/2031188317275038195
2031145008552882563,2031145008552882563,1,1,2026-03-09,2026-03-09T23:08:01.000Z,"寝てる間にAIが勝手に100回実験して、朝起きたらモデルが賢くなってる。

バイブコーディング提唱者Karpathyがそんなツールを公開した。

これは研究だけでなく、仕事でも使える考え方。

私もClaude",321,23,4,8,386,37066,,,,https://x.com/masahirochaen/status/2031145008552882563
2031126888891253239,2031126888891253239,1,1,2026-03-09,2026-03-09T21:56:01.000Z,"このAIへの質問力が非常に参考になる。

特にこの質問は永久保存したいレベル。

「本当に深く理解している人とただ暗記しただけの人を見分ける質問を10個作って」

＞

MITの大学院生が、1度も勉強したことのない科目の資格試験を48時間でパスした。

その秘密はAIツールの「使い方」じゃなく",422,47,1,11,594,31609,,,,https://x.com/masahirochaen/status/2031126888891253239
