No,スレッドNo,スレッド長,投稿順,日付,いいね,スレッド合計いいね,表示回数,文字数,画像,動画,リンク,絵文字,テキスト,permalink,thread_id
1,1,3,1/3,2026-03-09,6,7,866,55,,,,,"Threads新ルールで1行目でこの型使ってない人、マジで損してます。  爆伸びする1行目の書き方を解説すると",https://www.threads.net/@kudooo_ai/post/DVrjb4gFJ4P,DVrjb4gFJ4P
2,1,3,2/3,2026-03-09,0,,,451,,,,,"3ヶ月でフォロワー3100名、256万インプ達成した1556件のデータを分析して、フック別の勝率を全部調べました。  結論から言うと、1行目のフックで投稿のパフォーマンスが5倍以上変わります。  最強だったのが「あのー」パターン。勝率25%です。8件中2件が勝ち投稿になってます。  実例を出すと、「あのー、Threads投稿するときにトピックは設定しない方が良いですよ」で14861imp。「あのー、Threadsは短文で投稿しない方がいいですよ」で14561imp。  次に強いのが警告型「〜損してます」で勝率2.2%、数値型「〜で3倍」で勝率2.8%。  逆にタイトル型「【緊急】」は平均1374impで勝率0%。使わない方がいいです。  僕も最初はフックを意識してなくて、「今日は投稿時間について書きます」みたいな書き出しをしてました。当然、スクロールされて終わりです。  1行目で読者の手を止めないと、どれだけいい内容を書いても読まれないんです。  じゃあ具体的にどうすればいいかっていうと▼",https://www.threads.net/@kudooo_ai/post/DVrjk0VlPOY,DVrjb4gFJ4P
3,1,3,3/3,2026-03-09,1,,,476,,,○,,"①「あのー」パターンを使う  「あのー、〜しない方がいいですよ」の形で書いてください。ソフトな語り口が逆に目を引くんです。勝率25%はダントツです。ただし多用しすぎると飽きられるので、10投稿に1〜2回の頻度で使ってください。  ②「〜してる人、損してます」を基本形にする  安定して使えるのがこのパターンです。勝率2.2%で89件中2件が勝ち投稿。日常的に使うフックとしてはこれが最適です。  ③1行目は15文字以内に収める  フックは短い方が刺さります。「Threads午後に投稿してる人、損してます」くらいの長さがベストです。長い説明は2行目以降かコメント欄に回してください。  注意点としては、フックだけ強くて中身が薄いと逆効果です。  あと、同じフックパターンを毎回使うとフォロワーに飽きられるので、ローテーションを意識してください。  最新Threads運用の情報を見逃したくない方は、僕を（@kudooo_ai ）フォローしておいてください。  2026年最新版のThreadsノウハウはこちら▼ https://asto.jp/l/3p",https://www.threads.net/@kudooo_ai/post/DVrjvG0lGu8,DVrjb4gFJ4P
4,2,3,1/3,2026-03-09,4,7,700,38,,,,,"あのー、Threads100〜300文字の短文で投稿してる人、損してますよ。",https://www.threads.net/@kudooo_ai/post/DVrhDHplEOd,DVrhDHplEOd
5,2,3,2/3,2026-03-09,1,,,447,,,,,"3ヶ月でフォロワー3100名、LINE登録724件、256万インプ達成した1556件のデータ分析で、文字数別のパフォーマンスを徹底的に調べました。  結論から言うと、100〜300文字の中文投稿は平均660impで勝ち投稿ゼロ。全文字数帯でワーストです。  これ、マジでやばいです。  一方で超長文600字以上は平均1867impで勝率1.4%。短文100字以下はコメント展開型と組み合わせると平均1300impで勝率1.6%。  つまり、中途半端な長さが一番伸びないんです。  僕も最初は「300文字くらいがちょうどいいかな」と思って投稿してたんですけど、全然伸びなかったです。  理由はシンプルで、100〜300文字だと内容が薄すぎて価値提供にならないし、かといってフックとしてのインパクトもない。どっちつかずなんです。  アルゴリズムは滞在時間を重視するので、読み応えのある長文か、短文フック+コメント展開で読者を引き込む構成が評価されます。  じゃあ具体的にどうすればいいかっていうと▼",https://www.threads.net/@kudooo_ai/post/DVrhKAbFIEC,DVrhDHplEOd
6,2,3,3/3,2026-03-09,2,,,499,,,○,,"①短文フック50〜150字+コメント2つの3部構成にする  メイン投稿で興味を引いて、コメント欄で詳細を展開してください。合計900字前後が最適です。僕の19632impの投稿もこの構成です。  ②メイン投稿は「1行目で勝負」を徹底する  短文フックは最初の1行で読者の手を止めないと意味がないです。「〜してる人、損してます」か「あのー、〜しない方がいいですよ」のどちらかを使ってください。  ③コメント欄は各400〜500文字で書く  コメント1に体験談+データ根拠、コメント2にステップ+注意点+CTAを入れてください。この構成で滞在時間が伸びてアルゴリズム評価が上がります。  注意点としては、超長文1投稿にまとめるのは2025年の手法です。2026年はコメント展開型の方が圧倒的に強いです。  あと、300〜600文字の長文帯も平均899impで勝ち投稿ゼロなので、避けてください。  最新Threads運用の情報を見逃したくない方は、僕を（@kudooo_ai ）フォローしておいてください。  2026年最新版のThreadsノウハウはこちら▼ https://asto.jp/l/3p",https://www.threads.net/@kudooo_ai/post/DVrhUHmlEDV,DVrhDHplEOd
7,3,3,1/3,2026-03-09,5,8,1011,35,,,,,"Threadsを水曜日に投稿してない人、マジで損してます。 解説すると",https://www.threads.net/@kudooo_ai/post/DVreSJUj_0T,DVreSJUj_0T
8,3,3,2/3,2026-03-09,2,,,430,,,,,"3ヶ月でフォロワー3100名、256万インプ達成した1556件のデータを分析して、曜日別のパフォーマンスを徹底的に調べました。  結論から言うと、水曜日は平均1084impで全曜日中ワーストです。勝ち投稿もたった1件。勝率0.4%。  これ、マジで衝撃でした。  僕も最初は「毎日投稿すればいい」と思ってたんですけど、曜日で2.2倍も差が出るとは思ってなかったです。  土曜日が平均2422impで最強、日曜日が平均1890impで次点。つまり週末に集中投稿した方が圧倒的にリーチが伸びるんです。  水曜日に投稿しても伸びない理由は、週の真ん中で仕事が忙しくてThreadsを見る時間が少ないからだと分析してます。実際、水曜日の夜18-21時でも他の曜日より反応が悪いんです。  だから水曜日は投稿を減らすか、リサイクル投稿（過去の人気投稿のリライト）に充てるのがベストです。エネルギーは週末に集中させてください。  じゃあ具体的にどうすればいいかっていうと▼",https://www.threads.net/@kudooo_ai/post/DVreZuSj-OM,DVreSJUj_0T
9,3,3,3/3,2026-03-09,1,,,479,,,○,,"①土曜日と日曜日に渾身の投稿を集中させる  週末は読者がじっくり読む時間があるので、データや具体的なステップを盛り込んだ長文投稿が特に伸びます。土曜日の朝6時と夜18時を狙ってください。  ②水曜日はストック投稿を消化する  水曜日にゼロから投稿を作るのはもったいないです。過去に伸びた投稿を少しリライトして再投稿するか、軽めの投稿で回してください。  ③曜日別のデータを毎月チェックする  インサイトで曜日別のインプレッションを確認して、自分のアカウントの最強曜日を見つけてください。ジャンルによって微妙に違います。  注意点としては、水曜日を完全にサボるのはNGです。アカウントの活発さはアルゴリズム評価に影響するので、最低限の投稿は維持してください。  あと、祝日がある週は通常と傾向が変わるので、月曜祝日の週は火曜日が弱くなる場合もあります。  最新Threads運用の情報を見逃したくない方は、僕を（@kudooo_ai ）フォローしておいてください。  2026年最新版のThreadsノウハウはこちら▼ https://asto.jp/l/3p",https://www.threads.net/@kudooo_ai/post/DVrekzqD3ug,DVreSJUj_0T
10,4,3,1/3,2026-03-09,5,7,1513,38,,,,,"Threads投稿をNotebookLMで分析してない人、マジで損してます。",https://www.threads.net/@kudooo_ai/post/DVrb4aED1Gy,DVrb4aED1Gy
